Report generated on: 07-31-2024 18:27:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.63-1-WORL-TBPD.A","            Jet fuel (Mb/d)","","","","","","","2878.6","3414.9","3736","3913","4060.9","3863.2","3772.2","3740.1","3970.4557687671195","4146.4395435616425","4366.221264153005","4375.936125890413","4435.689132465756","4492.660904109588","4699.6160376103335","4583.127207460101","4574.47366304854","4563.698508813646","4867.403043136973","5017.811403776343","5091.705376676832","5201.689311566985","5299.778696905521","5104.574829851643","5241.464780006377","5393.889265595589","5448.051651384833","5584.404423332988","5924.171137868183","","","","","","","","","",""
"INTL.64-1-WORL-TBPD.A","            Kerosene (Mb/d)","","","","","","","2306.1","1850","1732.4","1653.9","1734","1667.3","1802.7","1872.6","1812.411654246575","1857.1474879452048","1911.2506876502737","2019.3776053424658","1834.4585676712331","1879.3822739726031","2019.4605333883235","1970.3331023379058","1888.878684551578","1998.6335591439304","1919.9322053819974","1935.5438413902814","1822.0087679776393","1664.6358102791419","1586.6975682886555","1549.093334026535","1556.170124221935","1518.386616225381","1490.4595494157477","1515.463352250883","1286.3391234003607","","","","","","","","","",""
"INTL.65-1-WORL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","15364.9","15381.5","16020.6","16514.7","16699","16976.2","17202","17985.5","18106.19178082192","18550.56164383562","18959.466338797803","19521.106029452058","19705.45272479453","20064.3192441863","20713.28867529302","21223.018772240343","21239.51666332323","22037.063359609627","22943.093200595184","23699.662414561575","23951.435486572584","24433.055232135048","25339.097771500234","24910.543217762457","25340.99758990558","25998.84828148115","26539.17312154649","26801.40336256378","27253.698082564882","","","","","","","","","",""
"INTL.66-1-WORL-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","13293.3","13069.3","13194.5","13660.3","13765.9","13405","13002.5","12427.8","12221.772602739726","11908.406970684931","11820.661877431696","11992.636081506847","11850.92513328767","11402.931317194518","11309.213662090879","11283.884820826534","11016.243711539273","11105.435677246218","11264.28301889932","11216.605802975037","11183.835319271951","10806.417478523199","10694.739721881173","9952.64750468866","9922.613886469","9554.746588542652","9373.637078508284","8992.802979958888","8785.539397527844","","","","","","","","","",""
"INTL.67-1-WORL-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","2171.6","2009.9","2110.4","2167.5","2170","2358.6","2633.7","2575.5","2764.462677534246","2991.2065200000006","2997.953615300546","2982.6322679452046","3077.8038379452055","3181.8002556547945","3087.589635772499","3249.1250880818848","3240.598987520301","3339.0558931803894","3429.692972521103","3437.5645569753037","3618.3502330222577","3591.0135549217625","3596.6210568781653","3552.945254845359","3670.7093436986156","3697.536599033352","3724.475077919151","3898.511248825415","3967.9928490412813","","","","","","","","","",""
"INTL.68-1-WORL-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","9457.6","9610.9","8990.8","9405.4","9879.3","9608.1","10043.8","9812.3","10379.176135890404","10455.499833287666","10786.310196994535","11907.2777820548","11919.915723287675","12060.182484515064","13126.342648412914","13313.8343727052","13702.516669392311","14244.178368536339","15032.557490612682","15167.99226183967","15736.601341662315","15630.319397530342","15456.524840262837","15454.682513950956","16663.613872814298","16370.261690164618","16348.614109166994","16461.993136062643","16734.79917480377","","","","","","","","","",""
"INTL.5-2-WORL-TBPD.A","    Consumption (Mb/d)","63136.98901804046","60937.91981561333","59653.60138821889","58887.262083002235","59892.295658870564","60164.603423806424","61828.714125972605","63065.34719819178","64947.83862657414","66046.80370290412","66658.53165","66930.59273434247","67185.41878647234","66989.72191224658","68376.30340413698","69797.44460175507","71870.46613376884","73083.80538682466","73902.69465003561","75523.21600043535","77047.91185889486","77760.26009696406","78647.40463156605","80286.11687473019","83448.04042996907","84642.1356051341","85761.91470084531","87434.76098607108","86857.6592985057","86038.04234620357","88831.48931502162","89422.01681978576","90676.10044830095","92159.77270233458","93695.7747118072","95474.73848997497","96960.72652158319","99064.62704583464","100064.72289819633","100848.82893060894","91692.33623391831","97558.73209330777","99844.63259567138","",""
"INTL.54-2-WORL-TBPD.A","        Refined petroleum products (Mb/d)","63136.98901804046","60937.91981561333","59653.60138821889","58887.262083002235","59892.295658870564","60164.603423806424","61828.714125972605","63065.34719819178","64947.83862657414","66046.80370290412","66658.53165","66930.59273434247","67185.41878647234","66989.72191224658","68376.30340413698","69797.44460175507","71870.46613376884","73083.80538682466","73902.69465003561","75523.21600043535","77047.91185889486","77760.26009696406","78647.40463156605","80286.11687473019","83448.04042996907","84642.1356051341","85761.91470084531","87434.76098607108","86857.6592985057","86038.04234620357","88831.48931502162","89422.01681978576","90676.10044830095","92159.77270233458","93695.7747118072","95474.73848997497","96960.72652158319","99064.62704583464","100064.72289819633","100848.82893060894","91692.33623391831","97558.73209330777","99844.63259567138","",""
"INTL.62-2-WORL-TBPD.A","            Motor gasoline (Mb/d)","15161.015691621995","15147.762603415329","15202.42444417789","15241.599878085617","15301.905646659263","15532.570424421603","15985.673968225294","16387.578549656057","17008.427325801917","16998.33873129591","17377.932635398476","17470.723466480908","17415.044440799917","17686.733844963568","17953.240301422156","18255.557178286515","18538.279391379572","18866.35165263187","19272.596867667573","19559.15581690727","19650.726082507234","19955.235024975376","20426.554565314847","20672.872830774602","21190.585624874635","21437.065043426253","21647.950050293784","21986.777957109098","22075.66528608468","22375.026777001625","22746.15487836864","22845.730834934227","23110.602095714898","23998.50756297267","24481.405239311727","25108.534574682286","25618.239733711645","25867.885851797666","26198.57448828577","26578.79746043441","23495.510548521117","25346.724255903366","26053.540378951893","",""
"INTL.63-2-WORL-TBPD.A","            Jet fuel (Mb/d)","2108.319131598886","2087.3545642969043","2009.3216608634932","2039.5800943914658","2237.225166546674","2340.5624881363697","2495.8684861519073","3025.550580013721","3365.8334292827885","3546.233884961736","3627.774805906512","3486.118685260984","3530.0084287276054","3603.811233494976","3829.527068700104","3936.669892612028","4133.058510359528","4242.629268861669","4310.588517580391","4444.814022571895","4700.927137031372","4627.179651867957","4627.494773246414","4621.985428250385","4937.908602472202","5134.904506079832","5256.17848015665","5383.483930159798","5320.783677713919","5070.168604513556","5262.060748013111","5373.000826035307","5427.769723151444","5596.574895463232","5786.1536136519135","6098.191928881507","6383.286346477462","6764.341233051071","7064.0360923258195","7192.780762494848","4146.891224734689","4876.159796472969","5789.919138174957","",""
