Report generated on: 07-31-2024 18:28:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.130-3-WORL-TST.A","            Metallurgical coal (Mst)","135483.20343079412","136948.7983970406","135797.9980952777","129243.756154762","144666.82907425956","154174.11950217973","146661.6605311639","149213.49118136545","165138.79872162826","164077.49474408553","171075.88368167583","177993.12602304673","171855.85772996035","171732.95755653788","172216.25276778184","176540.78883308667","179737.59248479494","183321.03605231768","180542.1351171099","180783.17990285426","188036.92850234662","192235.74090152583","181264.7194374358","185198.6607164978","195614.31167442305","195625.20881101605","203267.73078071213","220544.51324955598","230025.99618983988","219789.90527895486","281869.1879081421","278678.4189476369","301834.38557630806","341119.8937650263","344109.2542214866","334870.0575905125","341824.81388229685","355675.11010882806","346588.77374648943","349097.18782494735","327682.891223737","324174.33372576936","326385.948671433"
"INTL.12-3-WORL-TST.A","            Bituminous (Mst)","112842.28175226909","119916.28191516733","130068.11801963756","130805.06039004358","155763.69817160297","177926.60317990705","181405.83175699227","181783.64798103427","191487.36562243235","201571.01478013102","227381.65323162213","243012.91811445044","246154.1828719016","242238.1975386457","264111.9942464851","279883.41528606444","293872.87793356914","313259.4718824823","320553.5973277851","338044.4938808118","378135.3692025734","417774.24284222466","436479.6110888647","484142.6380072548","518932.9849353413","524130.02993273403","562159.8247384725","592305.1899729294","588796.7424826982","608594.3716918582","634599.8646016145","656750.3911013722","715878.5593225998","745494.5377522535","748355.9143000338","732056.6631144036","712272.2635441717","744678.3439264243","746504.8403416121","746613.0459462876","674308.014952141","698826.8687721177","674532.5856123967"
"INTL.119-3-WORL-TST.A","            Subbituminous (Mst)","25005.613066013957","26342.745817995477","27882.194197755765","28022.459634963514","30471.100537297498","34528.68792689953","34922.25170918537","37500.302430531025","40097.332482285725","40890.87477963582","44811.649258682955","43723.152896042964","46828.67995399318","40579.784697656556","44105.32248594452","48409.927304435354","55531.33018975769","60748.75121871223","62546.57383732997","68810.22639795668","78561.2234577977","92363.79299496267","100983.3702615243","112377.71113007548","118818.77006875286","142473.77028076068","150454.7601584485","160581.90481073462","172827.7123103874","163862.60715566017","186255.50108047677","204846.5139148654","239321.9233141686","260200.6169132343","291009.4596755737","269872.92453964055","265689.6607973605","294840.10502707073","347375.6128536694","346477.5969123959","323314.87479380734","321535.0330585667","345141.9918762645"
"INTL.14-3-WORL-TST.A","            Lignite (Mst)","3009.862087542494","2850.363059788099","3000.1579250600394","3644.606555224491","4117.634788420374","4233.959689826074","4443.812942250127","4348.39790942202","4728.999197826756","4100.383418003342","5708.903228297997","4978.116157045192","4487.763315300835","4303.256301727888","4156.985646574284","4298.796509437991","4200.471756775345","3709.460581719686","3556.3995981749317","3332.966215689212","3476.710263341332","3615.6776553606405","4196.8964518705325","4019.868548837165","4503.584566697804","4599.316702540002","4965.288551376051","5864.711902114767","7760.774791142489","11026.316903920739","25385.459047194363","49289.87015325088","66696.72343856945","73502.10659484363","65182.25173525327","61737.85097326829","87423.00750131917","98695.77507722602","112057.9009948553","121476.5394838086","117801.37754719943","139986.54399970683","140748.5767591137"
"INTL.21-3-WORL-TST.A","        Metallurgical coke (Mst)","26272.79935840997","22528.418297398362","18816.867112449978","17608.027669430037","21911.84384334002","20965.27591630999","18980.93251052377","17285.584784615156","20429.690042784623","21320.10855205759","23080.07063370609","18336.223969439154","18660.48204439882","20046.70992281069","22006.41791072959","25526.474209606735","22884.818096642783","26671.332447198594","26780.758232892083","25804.786214946027","32626.83160795101","30945.89465048629","33065.12247937815","35059.97700673103","38234.79241807091","32015.84909016222","34773.72559061798","35744.593573900675","32634.79397846078","17774.174191533617","26138.60335611098","25021.316495693274","24447.653193339873","26009.226603965177","30557.191116567574","30339.722787047496","29778.820957695167","29870.63762688614","32631.465082908544","29278.663475071153","27952.97409213061","32265.62480724989","32414.8225509882"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-4-WORL-TST.A","        Coal (Mst)","297478.5297267308","327556.80837958783","309913.6188030854","310025.691673723","356393.0633041236","393060.1299805571","390139.12380269245","394047.64865353866","431589.4851897954","434449.4956662224","463741.69093114045","490317.7495527911","496517.2240024676","483455.3467879142","502942.7435217102","554883.8642496391","572198.7569324133","601901.7008836748","616591.9923484423","613329.13749799","687263.0404640392","740605.0659298693","746130.759378109","810636.3045331633","858764.0576251296","904079.3426942276","987091.0808063449","1038997.9801043373","1083547.521088624","1081160.5560770773","1228004.3120765982","1257822.4791081152","1384135.780534803","1492631.572534152","1509257.0803788009","1439134.0234873858","1470585.9898980306","1550836.7554250013","1590590.104771634","1621284.6370193164","1486412.4350781338","1523095.8245744915","1561117.3209222849"
"INTL.11-4-WORL-TST.A","            Anthracite (Mst)","9397.0168463389","11022.24600938012","10573.698124344013","10463.280213137094","9057.41086640615","10283.335638608727","11331.876404410083","11975.950878888303","12918.67636924546","11753.4668418888","12252.722207598697","13196.943805116565","13744.731467408072","14052.26385313131","15591.30869944204","16579.499894604654","16514.174925269832","17772.212210332993","18226.064781425135","17899.287742831202","21500.876460733143","27089.92235912653","31745.485806996374","36685.060012625436","39807.39507702923","43960.27714045281","53918.75011926784","63047.172914198294","55018.514406254006","56160.35071098449","61441.5254283967","66137.08515947605","67423.54544770191","70996.38323538825","61320.19787028776","58141.77412087675","62216.94469589532","43198.45127364333","42326.602866626294","45567.73524572217","42730.86661146362","42751.01768351906","42928.63142373754"
"INTL.130-4-WORL-TST.A","            Metallurgical coal (Mst)","134314.83632599522","142315.77978932907","134742.8049940129","131893.8485023066","151558.23291332787","157398.08957261618","138659.4086300848","139640.44730732482","152951.741619486","156819.27592565914","160004.07343180175","170956.0279946797","167678.49126713356","155367.72692488527","161353.72209615944","169793.25867089845","169401.45219712792","181739.45719160442","184201.39550185524","170315.4594147055","182601.38526288257","177810.63295265997","185134.6211682123","179161.79841085858","183948.27416326525","195300.094306293","191180.25830009772","235394.7335356844","253475.96190336396","240716.45190381946","299678.5914345867","295345.1225589785","311230.1109263552","333152.36937642575","350443.7777067327","338098.9398558924","346989.98810309905","356803.9816489843","367188.6152105572","375143.5828973085","323434.66593594075","318201.12744958675","334107.7821687984"
"INTL.12-4-WORL-TST.A","            Bituminous (Mst)","114840.34362223005","136002.05417723508","128139.14759468191","125829.15549983218","146057.9900011482","180201.51701949444","196444.10120532665","203947.74373372368","224931.31772438288","226293.1102252656","249210.04197233514","266285.59434685245","267463.6310824014","268899.74844680546","274075.3881459086","301703.20036230213","320511.9361054527","332925.4694496084","341667.48532891605","349789.08030786336","403666.2592941675","443798.76507714833","431181.38568085554","482217.73230231553","520338.19222227973","525150.4834430442","570475.4010112741","566946.8644136856","605056.3659883755","575687.7952348408","586857.5364117152","602019.389032127","686070.3730329687","741911.9016682386","763194.0766546822","723148.3233797487","730559.2705989527","774761.867767053","770652.6717790834","762972.1533939157","718327.4014493272","717536.3572850245","654762.6909628191"
