Report generated on: 07-31-2024 18:29:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.6899-2-DZA-TBPD.A","            LPG (Mb/d)","22.28930253","25","26","31","36","34","43","38","40","39","34","39","39","41","38","37","34","44","47","50","45","52","49","53","56","59","51","53","54","52","63","63","61","NA","NA"
"INTL.8499-2-DZA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","6.6","6","4.7","4.5","6.4","6.6","5.8","7.5","3.3","5.2","5.1","5.1","5","3.4","0.7","2.9","2.7","2.9","2.4","1.7","0.7","0","1","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-DZA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","3.1","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-DZA-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","3.1","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-DZA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-DZA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","102","123","114","114","118","124","117","124","129","121","117","160","191","192","250","253","243","253","231","218","223","237","238","216","188","191","175","NA","NA"
"INTL.6899-4-DZA-TBPD.A","            LPG (Mb/d)","13.23526448","20","24","18","52","67","102","123","114","114","118","124","117","124","129","121","117","160","191","192","250","253","243","253","231","218","223","237","238","216","188","191","175","NA","NA"
"INTL.8499-4-DZA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-ASM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6798-1-ASM-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6799-1-ASM-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8399-1-ASM-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ASM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.031780822","0.031693989","0.031780822","0.031780822","0.031780822","0.031693989","0.031780822","0.05","0.07","0","0.05","0.05","0","0","NA","NA"
"INTL.6899-2-ASM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.031780822","0.031693989","0.031780822","0.031780822","0.031780822","0.031693989","0.031780822","0.05","0.07","0","0.05","0.05","0","0","NA","NA"
"INTL.8499-2-ASM-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ASM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.031780822","0.031693989","0.031780822","0.031780822","0.031780822","0.031693989","0.031780822","0.05","0.07","0","0.05","0.05","0","0","NA","NA"
"INTL.6899-3-ASM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.03178","0.03169","0.03178","0.03178","0.031780822","0.031693989","0.031780822","0.031780822","0.031780822","0.031693989","0.031780822","0.05","0.07","0","0.05","0.05","0","0","NA","NA"
"INTL.8499-3-ASM-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-ASM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-ASM-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-ASM-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-AGO-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.5","0.5","0.6","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.7","1.2","1","0.9","1","1","1.3","1.3","4.5","4.8","20","21","21","20","17","18","18","NA","NA"
"INTL.6798-1-AGO-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","0.5","0.5","0.6","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.7","1.2","1","0.9","1","1","1.3","1.3","1","0.8","0.8","0.9","0.8","0.8","1.1","1","0.8","NA","NA"
"INTL.6799-1-AGO-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6","4","19","21","21","19","16","17","17","20","NA"
"INTL.8399-1-AGO-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-AGO-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.8","1.3","1.9","1.8","1.8","2.2","2.5","2.7","2.6","2.8","3.2","5.4","4.6","5.3","4.7","4.8","4.8","NA","NA"
"INTL.6899-2-AGO-TBPD.A","            LPG (Mb/d)","0.571877254","0.7","0.5","0.6","0.8","0.8","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.8","1.3","1.9","1.8","1.8","2.2","2.5","2.7","2.6","2.8","3.2","5.4","4.6","5.3","4.7","4.8","4.8","NA","NA"
"INTL.8499-2-AGO-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-AGO-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.09534","0.09534","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.9","0.8","0.8","0.8","1.2","1.4","1.6","1.9","2.4","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-AGO-TBPD.A","            LPG (Mb/d)","0.210685256","0.3","0.2","0.2","0.2","0.3","0.09534","0.09534","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.9","0.8","0.8","0.8","1.2","1.4","1.6","1.9","2.4","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-AGO-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-AGO-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","18","14","14","14","14","NA","NA"
"INTL.6899-4-AGO-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","18","14","14","14","14","NA","NA"
"INTL.8499-4-AGO-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
