Report generated on: 07-31-2024 18:29:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.6899-2-AFG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-2-AFG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-AFG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-3-AFG-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0.03169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-3-AFG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-AFG-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-AFG-TBPD.A","            LPG (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-AFG-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-ALB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.00987","0.00809959452054794","0.00837211475409836","0.0402420383561644","0.00840859178082192","0.00837894246575343","0.0408992950819672","0.0420211890410959","0.0135010630136986","0","0","0.00830184657534247","0.00420149589041096","0.00777195616438356","0.00299971038251366","NA","NA"
"INTL.6798-1-ALB-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.00987","0.00809959452054794","0.00837211475409836","0.0402420383561644","0.00840859178082192","0.00837894246575343","0.0408992950819672","0.0420211890410959","0.0135010630136986","0","0","0.00830184657534247","0.00420149589041096","0.00777195616438356","0.00299971038251366","NA","NA"
"INTL.6799-1-ALB-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.8399-1-ALB-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ALB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.9","0.00809959452054794","1","0.9","1.2","1.3","1.5","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.6899-2-ALB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.9","0.00809959452054794","1","0.9","1.2","1.3","1.5","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.8499-2-ALB-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-ALB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8","1.2","1.3","1.4","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.6899-3-ALB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8","1.2","1.3","1.4","1.6","2.2","2.6","2.4","1.4","3.1","3.2","2.8","NA","NA"
"INTL.8499-3-ALB-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-ALB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-ALB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-ALB-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-DZA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","115","133","138","138","179","180","176","179","175","172","180","215","235","267","304","311","320","313","292","298","276","290","291","281","258","252","235","NA","NA"
"INTL.6798-1-DZA-TBPD.A","            Liquefied petroleum gases and ethane (refinery) (Mb/d)","NA","NA","NA","NA","NA","NA","23","21","22","23","29","30","29","30","27","23","17","18","14","18","18","19","21","20","19","20","16","18","16","18","19","16","15","NA","NA"
"INTL.6799-1-DZA-TBPD.A","            Liquefied petroleum gases (nonrefinery) (Mb/d)","14.99575809","20","24","20","58","70","93","112","116","115","143","143","141","144","140","142","155","190","218","244","281","288","294","289","272","275","257","269","272","261","239","236","219","217","NA"
"INTL.8399-1-DZA-TBPD.A","            Ethane (non refinery) (Mb/d)","0","0","0","0","0","0","0","0","0","0","8.2","6.8","5.6","5.3","7.6","7.5","7.5","7.6","3.4","5.1","5.6","5.1","5.6","3.7","0.8","2.8","2.8","2.8","2.4","2.1","0.7","0","1.1","0","NA"
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-DZA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","43","38","40","39","40","45","44","45","44","44","40","51","50","55","51","57","54","56","56","62","54","56","57","53","63","63","62","NA","NA"
