Report generated on: 07-31-2024 18:26:14
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.26-1-AFG-BCF.A","            Dry natural gas (bcf)","60","79","81","85","85","105","105","99","106","104","104","11","10.5945","10.5945","10.59","7.06","8.12245","8.12245","8.12245","8.12245","8.12245","1.76575","1.76575","0.7063","0.7063","0.7063","0.7063","1.4126","1.76575","1.05945","5.01115593","5.69979258","5.66094641","5.45612115","5.01115593","5.16300914","5.83751991","5.51262467","5.41021204","4.54500189","2.83223894","NA","NA"
"INTL.43-1-AFG-BCF.A","            Vented and flared natural gas (bcf)","0","0","0","0","0","0","0","6","8","7","6.62629480476627","5.34099331423114","0.425468958930277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"INTL.48-1-AFG-BCF.A","            Reinjected natural gas (bcf)","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-AFG-BCF.A","            Dry natural gas (bcf)","2","3","5","5","5","0","0","22","70","68","67","11","10.5945","10.5945","10.59","7.06","8.12245","8.12245","8.12245","8.12245","8.12245","1.76575","1.76575","0.7063","0.7063","0.7063","0.7063","1.4126","1.76575","1.05945","5.01115593","5.69979258","5.66094641","5.45612115","5.01115593","5.16300914","5.83751991","5.51262467","5.41021204","4.54500189","2.83223894","NA","NA"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-AFG-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-AFG-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","36.209261228231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-AFG-MMTCD.A","    Emissions (MMtonnes CO2)","0.11110066","0.16665099","0.27775165","0.27775165","0.27775165","0","0","1.22210726","3.8885231","3.77742244","3.721960809","0.61105363","0.588527971","0.588527971","0.588277995","0.39218533","0.451204778","0.451204778","0.451204778","0.451204778","0.451204778","0.098087995","0.098087995","0.039235198","0.039235198","0.039235198","0.039235198","0.078470396","0.098087995","0.058852797","0.278371366","0.316625359","0.314467441","0.30308933","0.278371366","0.286806862","0.324276157","0.324276157","0.318251809","0.267356448","0.166604406","NA","NA"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-ALB-BCF.A","        Gross natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13","11","3.602","3.178","2.47","1.77","1.76575","1.4126","1.76575","1.4126","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.05945","1.76575","1.76575","1.05945","0.7063","0.600355","0.670985","1.13008","1.236025","NA","NA","","","","",""
"INTL.26-1-ALB-BCF.A","            Dry natural gas (bcf)","10","11","10","11","11","10","14","16","25","25","9","5","3.602","1.059","1.06","1.06","1.05945","0.7063","1.05945","0.7063","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","0.35315","1.05945","1.05945","0.35315","0.35315","0.600355","0.670985","1.13008","1.236025","1.5891615","1.765735","1.515804683","2.752030114","1.967931188","2.082494209","1.787730207"
"INTL.43-1-ALB-BCF.A","            Vented and flared natural gas (bcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"INTL.48-1-ALB-BCF.A","            Reinjected natural gas (bcf)","","","","","","","","","","","4","6","0","2.119","1.41","0.71","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.7063","0.35315","0","0","0","0","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ALB-BCF.A","            Dry natural gas (bcf)","10","11","10","11","11","10","14","16","25","25","9","5","3.602","1.059","1.06","1.06","1.05945","0.7063","1.05945","0.7063","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","0.35315","1.05945","1.05945","0.35315","0.35315","0.600355","0.670985","1.13008","1.236025","1.5891615","1.765735","1.515804683","2.752030114","1.968859441","2.082494209","1.787730207"
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-ALB-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
